,Sector,2015 PRICE VAR [%],Class,Revenue,Revenue Growth,Gross Margin,Operating Income,Net Income,Net Profit Margin,returnOnEquity,returnOnAssets,PE ratio,Price to Sales Ratio,EV to Sales,Debt to Equity,Current ratio,Operating Cash Flow,Free Cash Flow,EPS Diluted Growth,Net Income Growth
LKQ,Consumer Cyclical,6.659461585292298,1,6740064000.0,0.3314,0.3935,649868000.0,381519000.0,0.0566,0.1402,0.1799,22.3175,1.2643,1.5212,0.6786,3.003,388711000.0,247761000.0,0.2255,0.2243
FCAU,Consumer Cyclical,19.67492584051793,1,113365617433.414,-0.025,0.1287,3257869249.3947,687651331.7191,0.0061,0.0404,0.021,13.5318,0.1378,,2.4511,1.2324,9889830508.4746,441888619.8547,-0.4499,-0.447
LULU,Consumer Cyclical,-5.186120209561572,0,1591188000.0,0.1611,0.528,391358000.0,279547000.0,0.1757,0.2549,0.2577,23.2021,3.2427,2.8036,0.0,8.136000000000001,278339000.0,171931000.0,0.0324,0.0332
UAA,Consumer Cyclical,20.511289200021075,1,3084370000.0,0.3226,0.4903,353955000.0,208042000.0,0.0675,0.1541,0.1451,69.2857,4.7044,4.6042,0.2105,3.675,219033000.0,78505000.0,0.2533,0.2816
GTN,Consumer Cyclical,49.13082142680143,1,508134000.0,0.4673,0.4372,153773000.0,48061000.0,0.0946,0.2223,0.155,13.494000000000002,1.2899,3.6626,5.718999999999999,2.103,134219000.0,102004000.0,1.5625,1.628
KAR,Consumer Cyclical,10.38830364608298,1,2417000000.0,0.1121,0.4326,377700000.0,169300000.0,0.07,0.1094,0.1397,10.8389,0.7643,1.4198,1.1339,1.304,431300000.0,331400000.0,1.4792,1.5007
DKS,Consumer Cyclical,-28.36851613848104,0,6213173000.0,0.0646,0.3129,536812000.0,337598000.0,0.0543,0.1995,0.1984,18.4582,1.0277,0.9996,0.0044,1.616,403870000.0,118202000.0,0.1645,0.1613
GPK,Consumer Cyclical,-4.146423720007261,0,4240500000.0,-0.0531,0.1856,227800000.0,89700000.0,0.0212,0.0886,0.0467,50.4444,1.0504,1.4928,1.9339,1.55,526600000.0,325200000.0,-0.3571,-0.3881
TJX,Consumer Cyclical,6.798498768827359,1,27422696000.0,0.0597,0.2851,3350570000.0,2137396000.0,0.0779,0.5053,0.3478,18.7467,1.4586,1.4159,0.3012,1.725,2600466000.0,1653788000.0,0.1529,0.121
KSS,Consumer Cyclical,-20.07048604061832,0,19031000000.0,-0.0129,0.3649,1742000000.0,986000000.0,0.0511,0.163,0.0892,12.1201,0.5564,0.7608,0.7528,1.862,2024000000.0,1241000000.0,-0.0288,-0.0984
DRI,Consumer Cyclical,26.53798949695125,1,6285600000.0,0.0616,0.206,308900000.0,286200000.0,0.0455,0.1327,0.0766,20.3998,0.9334,1.3451,1.2453,1.221,770100000.0,359700000.0,-0.3131,-0.3052
VFC,Consumer Cyclical,-13.87881684652188,0,11881730000.0,0.0405,0.4855,1798314000.0,888089000.0,0.0939,0.1962,0.3931,29.3614,2.5827,2.622,0.4676,1.913,1762066000.0,890375000.0,-0.1218,-0.1344
BLL,Consumer Cyclical,8.074453866470307,1,8570000000.0,0.012,0.1945,839000000.0,470000000.0,0.0548,0.4549,0.1717,20.1091,1.0891,1.4366,3.0674,1.153,1012000000.0,621000000.0,0.2088,0.1554
ODP,Consumer Cyclical,-33.09608757845331,0,12710000000.0,0.1306,0.2341,-228000000.0,-354000000.0,-0.0279,-0.2184,-0.1606,0.0,0.3708,0.4078,0.9506,1.429,155000000.0,59000000.0,-1.2759,-2.8065
TOL,Consumer Cyclical,-2.7169344747989324,0,3911602000.0,0.4627,0.2121,397249000.0,340032000.0,0.0869,0.0882,,16.7277,1.4532,1.5126,0.8772,,313200000.0,298126000.0,0.8969,0.9931
JMEI,Consumer Cyclical,-34.72622731835473,0,627628511.4627,0.2728,0.3953,58895382.6284,65408621.2464,0.1042,0.1203,0.0199,28.2163,0.1809,,0.0029,0.6127,68202131.0946,61723442.0407,1.263,2.4092
GME,Consumer Cyclical,-13.974536017135012,0,9039500000.0,0.0172,0.2944,573500000.0,354200000.0,0.0392,0.1573,0.5061,11.202,0.4334,0.3745,0.0018,1.13,762700000.0,637100000.0,2.4038,2.3133
LB,Consumer Cyclical,13.9328523187267,1,10773000000.0,0.03,0.4111,1743000000.0,903000000.0,0.0838,-2.4405,0.268,16.3045,1.3707,1.6916,-13.4486,1.725,1248000000.0,557000000.0,0.2008,0.1992
TIF,Consumer Cyclical,-27.687201247850524,0,4031100000.0,0.0624,0.5806,304300000.0,181400000.0,0.045,0.0667,0.0536,58.5845,2.6425,2.8004,0.3689,4.634,154700000.0,-66700000.0,-0.5662,-0.5641
DLPH,Consumer Cyclical,19.56442276215397,1,4540000000.0,,0.1914,442000000.0,306000000.0,0.0674,,,27.9251,1.3341,1.3134,,,533000000.0,212000000.0,,
NCLH,Consumer Cyclical,25.481793397796544,1,3125881000.0,0.2162,0.3773,502941000.0,338352000.0,0.1082,0.0962,0.0496,28.5122,3.0412,4.9591,1.7279,0.136,635601000.0,-329039000.0,2.3061,2.3265
WEN,Consumer Cyclical,21.440062521967963,1,1998502000.0,-0.1754,0.303,242588000.0,45487000.0,0.0188,0.0236,0.0262,27.4848,1.6577,2.2437,0.7587,2.639,254776000.0,105602000.0,1.9091,1.6696
GPS,Consumer Cyclical,-39.851141139168014,0,16148000000.0,0.0318,0.3897,2149000000.0,1280000000.0,0.0793,0.418,0.2699,13.3993,1.0357,1.0285,0.4553,1.812,1705000000.0,1035000000.0,0.176,0.1278
MGA,Consumer Cyclical,-23.69485848916481,0,34403000000.0,-0.0124,0.1434,2432000000.0,1882000000.0,0.0547,0.2173,0.2464,12.3231,0.6987,,0.1184,1.293,2822000000.0,1327000000.0,0.284,0.2056
AEO,Consumer Cyclical,16.319760767867475,1,3305802000.0,-0.0489,0.337,141055000.0,82983000.0,0.0251,0.0712,0.0724,30.6744,0.7692,0.6395,0.0,2.234,229856000.0,-48643000.0,-0.6293,-0.6425
NWS,Consumer Cyclical,-6.094964297468198,0,8574000000.0,,0.40062981105668,192000000.0,239000000.0,0.027874970842081,,,,,,,,854000000.0,475000000.0,,
IP,Consumer Cyclical,-26.76026348282013,0,23617000000.0,0.0057,0.3118,1517000000.0,555000000.0,0.0235,0.1085,0.0341,41.2154,0.9611,1.3651,2.2332,1.621,3077000000.0,1772000000.0,-0.5852,-0.6022
DAN,Consumer Cyclical,-35.51284735578212,0,6617000000.0,-0.0225,0.1428,382000000.0,319000000.0,0.0482,0.2954,0.1112,11.0355,0.5566,0.6114,1.5306,2.343,510000000.0,276000000.0,21.4444,25.0
BBY,Consumer Cyclical,-19.43867909759044,0,40611000000.0,-0.1066,0.2314,1144000000.0,532000000.0,0.0131,0.1335,0.0942,14.7885,0.1966,0.1659,0.4157,1.41,1094000000.0,547000000.0,1.4679,1.4322
SBH,Consumer Cyclical,-8.527387343349844,0,3753498000.0,0.0362,0.4956,506996000.0,245993000.0,0.0655,-0.7088,0.2799,17.7727,1.1314,1.5788,-5.1462,2.382,315972000.0,239416000.0,0.0203,-0.0579999999999999
YUM,Consumer Cyclical,4.104995612316556,1,13084000000.0,-0.0403,0.2738,1517000000.0,1091000000.0,0.0834,0.6794,0.2886,22.3134,3.5123,3.9323,2.1616,0.645,2049000000.0,1090000000.0,-0.0169,-0.0367
GIII,Consumer Cyclical,-11.480003356933596,0,1718231000.0,0.2276,0.3405,130827000.0,77360000.0,0.045,0.1479,0.1897,18.4132,0.8307,0.8583,0.1327,2.43,84593000.0,55310000.0,0.3214,0.3602
GT,Consumer Cyclical,16.56037772986188,1,18138000000.0,-0.0718,0.2333,1417000000.0,2452000000.0,0.1352,0.6792,0.2559,3.1292,0.4325,0.6659,1.7712,1.514,340000000.0,-583000000.0,2.8509,3.075
FWONK,Consumer Cyclical,9.930721198401727,1,59000000.0,,1.0,-116000000.0,-29000000.0,-0.49152542372881,,,,,,,,-30000000.0,-32000000.0,,
ARMK,Consumer Cyclical,5.878130463988903,1,14832913000.0,0.0636,0.099,564563000.0,148956000.0,0.01,0.0867,0.1375,40.0606,0.4155,0.7751,3.1697,1.036,398159000.0,-125222000.0,0.9091,1.1477
APTV,Consumer Cyclical,19.849348203485757,1,15499000000.0,0.0298,0.1954,1750000000.0,1351000000.0,0.0872,0.5382,0.3101,13.5457,1.1644,1.2655,0.9665,1.3430000000000002,2135000000.0,1356000000.0,0.1517,0.1147
CTB,Consumer Cyclical,11.787374083990931,1,3424809000.0,-0.0042,0.1672,300458000.0,213578000.0,0.0624,0.2531,0.1322,9.9569,0.5879,0.5318,0.4321,2.7110000000000003,319084000.0,174043000.0,0.9769,0.9239
SKX,Consumer Cyclical,62.59418303833248,1,2377561000.0,0.2877,0.4508,209071000.0,138811000.0,0.0584,0.1291,0.1204,20.2381,1.2061,1.0596,0.11,2.541,163882000.0,106977000.0,1.5278,1.5336
PHM,Consumer Cyclical,-14.762470979721876,0,5822363000.0,0.0251,0.271,689758000.0,474338000.0,0.0815,0.0987,,16.8976,1.3666,1.1738,0.4077,,307881000.0,259091000.0,-0.8125,-0.8190000000000001
FL,Consumer Cyclical,17.931265359594878,1,6505000000.0,0.0522,0.3279,664000000.0,397000000.0,0.0642,0.1669999999999999,0.1791,12.7093,0.8286,0.7166,0.0559999999999999,3.715,530000000.0,253000000.0,0.1047,0.0806
BBBY,Consumer Cyclical,-37.11716772800124,0,11503963000.0,0.054,0.3969,1614587000.0,1022290000.0,0.0889,0.2594,0.2893,13.9918,1.256,1.1816,0.0,2.065,1381726000.0,1060914000.0,0.0504,-0.0149
MAR,Consumer Cyclical,-12.702582785162951,0,13796000000.0,0.0792,0.1425,1159000000.0,753000000.0,0.0546,-0.3423,23.5313,30.0115,1.6027,1.8685,-1.7141,0.53,1224000000.0,813000000.0,0.27,0.2029
SHOO,Consumer Cyclical,-3.9720395910765314,0,1334951000.0,0.0158,0.3513,167642000.0,111880000.0,0.0838,0.1672,0.3354,17.4938,1.5314,1.4469999999999998,0.0,2.49,152329000.0,133988000.0,-0.1114,-0.1525
ANF,Consumer Cyclical,-2.1103276336196344,0,4116897000.0,-0.0873,0.6256,80823000.0,54628000.0,0.0133,0.0316,0.0289999999999999,47.3944,0.6245,0.5262,0.1132,2.324,175493000.0,11569000.0,-0.7579,-0.7695
MTOR,Consumer Cyclical,-45.49607997517956,0,3766000000.0,0.0256,0.1293,217000000.0,249000000.0,0.0661,-0.4069,0.3673,4.2549,0.2819,0.4699,-1.5605,1.245,215000000.0,138000000.0,12.4091,12.3182
EVC,Consumer Cyclical,21.247867255334725,1,242038000.0,0.0809,0.5543,59666000.0,27122000.0,0.1121,0.1863,0.2219,20.9032,2.3507,3.6276,2.338,2.815,54412000.0,45803000.0,-0.8,-0.7973
TSCO,Consumer Cyclical,10.457803259848166,1,6226507000.0,0.0901,0.3442,650508000.0,370885000.0,0.0649,0.2867,0.2665,28.3795,1.8552,1.8719,0.004,2.112,456212000.0,248896000.0,0.1278,0.1065
URBN,Consumer Cyclical,-35.18518236753382,0,3086608000.0,0.1044,0.3763,426831000.0,282360000.0,0.0915,0.1667,0.1921,18.6563,1.7095,1.5398,0.0,2.998,423155000.0,237054000.0,0.1667,0.1898
ETM,Consumer Cyclical,-11.852435606031827,0,379789000.0,0.0057,0.3176,85576000.0,26823000.0,0.0706,0.0815,0.2165,17.1268,1.2516,2.4322,1.4587,3.576,65296000.0,58241000.0,0.0147,0.0307
TPH,Consumer Cyclical,-16.203702564873034,0,1703616000.0,0.3365,0.2037,129271000.0,84197000.0,0.0494,0.0579,,26.2931,1.4442,1.1493,0.7829,,-113370000.0,-121197000.0,1.5043,1.5634
IGT,Consumer Cyclical,0.9003689431804318,1,4615388619.8547,-0.1238,0.3404,865679176.7554,104312348.6683,0.0226,0.0335,0.4575,28.4983,0.8986,,1.1516,0.7094,1290447941.8886,884612590.7989999,-0.6282,-0.6238
BLMN,Consumer Cyclical,-28.57164421746151,0,4442711000.0,0.0759,0.1664,191964000.0,91090000.0,0.0205,0.1652,0.0655,33.1644,0.6847,0.935,2.3756,0.7140000000000001,352006000.0,119883000.0,-0.5644,-0.5628
GNTX,Consumer Cyclical,-8.945393587475051,0,1375501159.0,0.1738,0.3918,398834174.0,288604579.0,0.2098,0.1837,0.2632,18.2475,3.8452,3.6767,0.1689999999999999,6.42,327223109.0,254927955.0,0.2727,0.2946
RCL,Consumer Cyclical,25.4320718392661,1,8073855000.0,0.0143,0.3428,941859000.0,764146000.0,0.0946,0.0922,0.0505,23.8928,2.2734,3.2958,1.0193,0.208,1743759000.0,152361000.0,0.6028,0.6132
W,Consumer Cyclical,129.16264368791997,1,1318951000.0,0.4401,0.2359,-147784000.0,-148098000.0,-0.1123,-0.4847,-0.4703,0.0,1.2479,0.9326,0.0,2.093,4125000.0,-41860000.0,-2.0,-2.6704
MDC,Consumer Cyclical,1.6583557754904008,1,1694584000.0,0.0084,0.1916,94244000.0,63143000.0,0.0373,0.0514,,23.2316,0.8647,0.9206,0.7451,,-163647000.0,-166889000.0,-0.7962,-0.7992
ALV,Consumer Cyclical,20.961587017332487,1,9240500000.0,0.0497,0.1952,722600000.0,467800000.0,0.0506,0.1365,0.1381,15.0503,0.7491,0.7568,0.4671,1.934,712700000.0,261700000.0,-0.002,-0.0371
BYD,Consumer Cyclical,58.832929394119255,1,2142255000.0,-0.2599,0.4471,173732000.0,-53041000.0,-0.0248,-0.1211,-0.0244,0.0,0.6468,2.1599,7.773,0.677,289898000.0,152147000.0,0.4217,0.3392
WGO,Consumer Cyclical,-7.136025102220112,0,945163000.0,0.1768,0.11,63909000.0,45053000.0,0.0477,0.2337,0.2286,15.2073,0.7139,0.6358,0.0,2.725,23236000.0,15183000.0,0.4513,0.41
FBHS,Consumer Cyclical,25.34560129130493,1,4013600000.0,0.0837,0.3406,403500000.0,158100000.0,0.0394,0.07,0.1388,46.1939,1.7795,1.8986,0.2965,1.857,266200000.0,138700000.0,-0.291,-0.3117
EXPE,Consumer Cyclical,46.06619186404691,1,5763485000.0,0.208,0.7954,517764000.0,398097000.0,0.0691,0.2231,-0.5615,27.6246,1.8742,1.8662,0.979,0.6990000000000001,1366959000.0,1038572000.0,0.7904,0.7097
TVPT,Consumer Cyclical,-26.21115136582189,0,2148159000.0,0.0348,0.3837,160950000.0,86494000.0,0.0403,,,,,,,,58451000.0,-53272000.0,,
OUT,Consumer Cyclical,-13.967607319830948,0,1353800000.0,0.0462,0.4634,183100000.0,306900000.0,0.2267,0.2123,0.3476,9.9777,2.6686,4.2714,1.5208,1.392,262800000.0,198600000.0,1.136,1.1387
CROX,Consumer Cyclical,-18.014411859341205,0,1198223000.0,0.0046,0.4927,-4726000.0,-4926000.0,-0.0041,-0.0109,-0.0097,0.0,0.8599,0.6464,0.0258,3.869,-11651000.0,-68441000.0,-2.8333,-2.8198
QRTEA,Consumer Cyclical,-5.532504762270956,0,10499000000.0,0.0274,0.3634,1188000000.0,537000000.0,0.0511,0.0947,0.1386,27.4953,1.3338,1.7922,1.4116,2.005,1648000000.0,1407000000.0,0.2771,0.1872
TRIP,Consumer Cyclical,14.2914570667961,1,1246000000.0,0.3185,0.9679,340000000.0,226000000.0,0.1814,0.2009,0.4102,47.2532,8.564,8.3826,0.2996,1.934,407000000.0,326000000.0,0.0993,0.1024
RH,Consumer Cyclical,-16.491488902735245,0,1550961000.0,0.3,0.3591,54851000.0,18195000.0,0.0117,0.0334,0.0356,116.7021,1.3759,1.4437,0.2175,1.934,87521000.0,-6347000.0,1.3309,2.4227
VIAB,Consumer Cyclical,-43.813529290005896,0,13783000000.0,-0.0008,0.5254,4071000000.0,2391000000.0,0.1735,0.6429,1.0249,13.9132,2.3615,3.2103,3.4146,1.335,2597000000.0,2474000000.0,0.1219,-0.0017
QSR,Consumer Cyclical,-1.390705476690135,0,1198800000.0,0.0458,0.7202,190600000.0,161400000.0,0.1346,0.0859,0.0493,0.0,6.5824,13.5154,5.4302,1.357,259300000.0,228400000.0,-4.5692,-2.7065
ETH,Consumer Cyclical,-7.738052417944165,0,746659000.0,0.0241,0.5444,69636000.0,42931000.0,0.0575,0.1169,0.0938,16.7162,0.9584,0.9518,0.3565,2.246,59889000.0,43965000.0,0.3243,0.3218
BGFV,Consumer Cyclical,-27.219432599326893,0,977860000.0,-0.0156,0.3205,25175000.0,14876000.0,0.0152,0.0763,0.0547,21.8382,0.3367,0.3952,0.3521,2.181,28535000.0,5970000.0,-0.4724,-0.4677
CBS,Consumer Cyclical,-12.990714038519554,0,12519000000.0,-0.1061,0.3858,2560000000.0,2959000000.0,0.2364,0.4245,1.0256,10.2862,2.291,2.8249,1.0204,1.36,1275000000.0,1097000000.0,0.7508,0.5748
WRK,Consumer Cyclical,-27.016384454985705,0,9895100000.0,0.0366,0.1954,854400000.0,479700000.0,0.0485,0.1114,0.0695,15.5597,1.4202,1.6765,0.693,1.788,1151800000.0,645000000.0,-0.3394,-0.3404
MCD,Consumer Cyclical,31.0444044406132,1,27441300000.0,-0.0236,0.381,7949200000.0,4757800000.0,0.1734,0.3702,0.183,19.3196,3.3231,3.7916,1.162,1.523,6730300000.0,4233700000.0,-0.1315,-0.1482
AXL,Consumer Cyclical,-17.328674551706467,0,3696000000.0,0.1524,0.1415,267600000.0,143000000.0,0.0387,1.261,0.0945,12.2108,0.4629999999999999,0.8062,13.3827,1.658,318400000.0,121000000.0,0.5041,0.5132
SIG,Consumer Cyclical,-3.931077892765861,0,4209200000.0,0.0567,0.3755,570500000.0,368000000.0,0.0874,0.1436,0.1294,16.5534,1.4480000000000002,1.3937,0.0075,3.617,235500000.0,82800000.0,0.0483,0.0225
TILE,Consumer Cyclical,18.83991861251572,1,1003903000.0,0.0457,0.3387,70295000.0,24808000.0,0.0247,0.0809,0.053,45.1081,1.1013,1.3089,0.8588,2.675,46380000.0,7458000.0,-0.4932,-0.4859
CAKE,Consumer Cyclical,-6.6614706944023965,0,1976624000.0,0.0526,0.4251,144731000.0,101276000.0,0.0512,0.182,0.1386,24.7794,1.2657,1.2364,0.0,0.6970000000000001,239649000.0,123788000.0,-0.0667,-0.1144
TMHC,Consumer Cyclical,-15.343913635252164,0,2708432000.0,0.4135,0.2091,297749000.0,265853000.0,0.0982,0.5557,,8.7051,0.8529,,3.6311,,-133690000.0,-137413000.0,0.5725,1.7985
BZUN,Consumer Cyclical,-17.899999618530273,0,255799160.4779,0.0196,0.3145,-9179205.6829,-9656764.6109,-0.0378,0.1856,-0.0224,0.0,0.9204,,-0.0528,0.3363,-10734258.9603,-13924443.0094,-0.5711,-0.5365
NWSA,Consumer Cyclical,-13.642293540130035,0,8486000000.0,-0.0456,0.4021,317000000.0,239000000.0,0.0282,0.018,0.0397,43.7561,1.2241,0.8535,0.0,2.3280000000000003,1029000000.0,671000000.0,-0.5287,-0.5277
ULTA,Consumer Cyclical,45.8530474150884,1,2670573000.0,0.2028,0.3525,327588000.0,202849000.0,0.076,0.2022,0.1523,26.4763,2.0187,1.8616,0.0,3.758,327725000.0,101701000.0,0.1754,0.1756
PRTY,Consumer Cyclical,-24.05882442698759,0,2271257000.0,0.1106,0.3879999999999999,243142000.0,56123000.0,0.0247,0.1152,0.0784,23.6111,0.857,1.8289,4.3528,2.229,136387000.0,59132000.0,13.75,12.9644
JACK,Consumer Cyclical,-2.61074928692398,0,1484131000.0,-0.0039,0.2611,165856000.0,88950000.0,0.0599,0.3449,0.1343,31.0459,1.7798,2.1149,1.9692,0.71,201022000.0,140497000.0,0.8596,0.7389
CPRT,Consumer Cyclical,3.9092302320895898,1,1163489000.0,0.1119,0.4027,274934000.0,178687000.0,0.1536,0.1781,0.2077,23.507,3.6162,3.7402,0.3018,1.6880000000000002,262594000.0,183933000.0,-0.0216,-0.0074
EAT,Consumer Cyclical,-16.5175559963263,0,2909495000.0,0.021,0.1923,242165000.0,163359000.0,0.0573,1.0937,0.1937,21.8412,1.1361,1.4119,5.408,0.508,359842000.0,159157000.0,0.0273,-0.0571
DXLG,Consumer Cyclical,2.6022279462375866,1,386495000.0,-0.0279,0.4563,-13547000.0,-59786000.0,-0.1547,-0.6471,-0.3666,0.0,0.6905,0.8140000000000001,0.5663,1.4780000000000002,24898000.0,-29227000.0,-10.4615,-10.7594
OMC,Consumer Cyclical,2.4002494492029234,1,15317800000.0,0.0503,1.0,1944100000.0,1104000000.0,0.0721,0.3874,-4.038,18.1429,1.2552,1.3961,1.5964,0.919,1476500000.0,1263500000.0,0.1429,0.1139
MHK,Consumer Cyclical,22.527004215243977,1,7803446000.0,0.0619,0.2761,772796000.0,531965000.0,0.0682,0.1204,0.1424,21.2822,1.4513,1.7275,0.5101,1.531,662188000.0,100384000.0,0.5041,0.5252
SPWH,Consumer Cyclical,74.56021450058597,1,643163000.0,0.2206,0.3222,60035000.0,21750000.0,0.0338,-0.1796,0.1896,14.7727,0.6336,0.96,-2.1486,1.894,34000.0,-20258000.0,-0.2143,-0.2253
CTAS,Consumer Cyclical,17.3941883034453,1,4193844000.0,-0.0123,0.4172,602720000.0,374442000.0,0.0893,0.1708,0.1843,20.2013,1.7832,1.971,0.5933,2.866,605969000.0,460389000.0,0.2103,0.187
HAS,Consumer Cyclical,25.747663801610305,1,4277207000.0,0.0478,0.6029,635375000.0,415930000.0,0.0972,0.2838,0.2299,17.2531,1.6426,1.8542,1.227,2.467,454411000.0,341023000.0,0.4747,0.4533
AN,Consumer Cyclical,-0.6329131617600622,0,19108800000.0,0.0908,0.1564,802200000.0,418700000.0,0.0219,0.2021,0.1649,16.9216,0.3577,0.4651,1.0272,1.03,485100000.0,281400000.0,0.1579,0.1168
VC,Consumer Cyclical,8.22305510422613,1,2586000000.0,0.5,0.1315,-3000000.0,-295000000.0,-0.1141,-0.341,-0.1772,0.0,1.8306,1.8812,0.7121,1.711,284000000.0,-56000000.0,-1.477,-1.4275
DPZ,Consumer Cyclical,19.365214528187245,1,1993833000.0,0.1063,0.2983,345361000.0,162587000.0,0.0815,-0.1333,0.5874,32.2432,2.633,3.3098,-1.231,1.6130000000000002,192339000.0,122246000.0,0.1532,0.1371
TTM,Consumer Cyclical,-32.77828673262652,0,39117355717.03,0.1225,0.3829999999999999,1230615551.6579,2183531278.7104,0.0558,0.2083,0.0425,10.5462,0.0409999999999999,,1.1408,0.0175,6952257579.554,1146055707.9475,0.3264,0.3376
FIVE,Consumer Cyclical,-19.5891784907635,0,535402000.0,0.2783,0.3512,53737000.0,32142000.0,0.06,0.275,0.2121,59.9322,3.577,3.5197,0.1668,2.018,31187000.0,5256000.0,1.4609,1.6981
SIX,Consumer Cyclical,32.53813892045823,1,1175793000.0,0.0593,0.551,222925000.0,76022000.0,0.0647,0.3395,0.0642,53.9375,3.4356,4.5463,6.1632,0.857,392323000.0,283663000.0,-0.3475,-0.3587
HTHT,Consumer Cyclical,27.716343505012908,1,801538262.835,0.1664,0.2189,62861478.8505,49620277.6881,0.0619,0.0955,0.0979,33.0816,0.3276,,0.0,0.1498,234745721.6661,82768808.5244,0.0585,0.0755
PENN,Consumer Cyclical,18.84274290213334,1,2590527000.0,-0.0674,0.4341,257188000.0,-183822000.0,-0.071,0.2596,-0.073,0.0,0.4171,2.2152,-6.8736,0.6859999999999999,262223000.0,35743000.0,0.6855,0.6837
UA,Consumer Cyclical,-4.331831750938757,0,3084000000.0,,0.4902723735408599,354000000.0,208000000.0,0.067444876783398,,,,,,,,219000000.0,79000000.0,,
THO,Consumer Cyclical,3.2321358148534887,1,3525456000.0,0.0875,0.1334,248054000.0,179002000.0,0.0508,0.1831,0.2783,15.7649,0.8009,0.7184,0.0,2.277,149261000.0,127554000.0,0.1632,0.171
TGNA,Consumer Cyclical,5.827562877176387,1,2626141000.0,0.6381,0.6364,707499000.0,1062171000.0,0.4045,0.3263,1.2547,3.6251,1.4621,3.132,1.3813,1.158,847540000.0,697186000.0,1.759,1.7328
THRM,Consumer Cyclical,27.41935632727517,1,811300000.0,0.2254,0.2979,98434000.0,70119000.0,0.0864,0.2383,0.2512,18.4949,1.6115,1.6177,0.3085,2.27,80335000.0,41935000.0,1.0745,1.1777
HLT,Consumer Cyclical,-17.273812865194863,0,10502000000.0,0.0788,0.6173,1673000000.0,673000000.0,0.0641,0.1416,0.0726,26.1155,1.6731,2.7133,2.4604,1.107,1307000000.0,970000000.0,0.5185,0.6217
PIR,Consumer Cyclical,-65.38474659570457,0,1791443000.0,0.0508,0.4272,175500000.0,107531000.0,0.06,0.2393,0.2177,18.6214,1.1001,1.0347,0.0211,2.168,159232000.0,91519000.0,-0.1583,-0.1693
STAY,Consumer Cyclical,-15.94620740997918,0,1213475000.0,0.0712,0.5121,348350000.0,39596000.0,0.0326,0.0502,,101.6316,3.2562,4.9127,3.6217,,370485000.0,200469000.0,-0.6122,-0.5408
ROST,Consumer Cyclical,15.893373841603411,1,10230353000.0,0.0524,0.2805,1343063000.0,837304000.0,0.0818,0.4171,0.3564,16.7335,1.385,1.3572,0.0747,1.34,1022003000.0,471488000.0,0.0992,0.0642
CSL,Consumer Cyclical,-0.3250612436522293,0,3204000000.0,0.0887,0.2558,406700000.0,251300000.0,0.0784,0.114,0.1423,23.1979,1.8072,1.8132,0.34,4.109,295900000.0,177100000.0,0.1863,0.1984
WSM,Consumer Cyclical,-20.5628289444058,0,4387889000.0,0.0853,0.3884,452098000.0,278902000.0,0.0636,0.2221,0.1982,18.4118,1.1435,1.0659,0.003,1.648,453769000.0,259816000.0,0.1102,0.0864
BWA,Consumer Cyclical,-20.21545266889549,0,8305100000.0,0.1168,0.2115,963700000.0,655800000.0,0.079,0.1814,0.2264,19.0138,1.5044,1.5697,0.3706,1.37,801800000.0,238800000.0,0.0593,0.0505
CAL,Consumer Cyclical,-13.878493918806164,0,2513113000.0,0.0143,0.4036,98617000.0,38073000.0,0.0151,0.0799,0.0693,25.9432,0.3922,0.4414,0.4322,2.049,104032000.0,54829000.0,0.375,0.3849
OI,Consumer Cyclical,-34.878507500512406,0,6784000000.0,-0.0263,0.1847,667000000.0,164000000.0,0.0242,0.2508,0.0659,26.99,0.6561,1.0884,5.2676,1.018,675000000.0,306000000.0,-0.4817,-0.4826
MATW,Consumer Cyclical,12.191493914982988,1,1106597000.0,0.123,0.3547,81522000.0,42625000.0,0.0385,0.0553,0.0816,29.0662,1.3021,1.9042,0.9457,2.236,90679000.0,61442000.0,-0.2359,-0.2124
PLNT,Consumer Cyclical,-2.3124976525808862,0,279777000.0,0.3259,0.4646,62533000.0,36808000.0,0.1316,0.2529,0.575,142.0909,5.0081,6.5075,2.6098,1.237,79405000.0,63681000.0,,0.447
MELI,Consumer Cyclical,-8.821553531025684,0,556536000.0,0.1776,0.7143,120471000.0,72581000.0,0.1304,0.204,0.2188,78.3252,10.1291,9.9708,0.7977,1.821,196793000.0,162367000.0,-0.3872,-0.3823
SGMS,Consumer Cyclical,-28.12499522398662,0,1786400000.0,0.6375,0.5245,-172700000.0,-234300000.0,-0.1312,-60.0769,-0.141,0.0,0.6045,5.0409,2131.5128,1.99,203500000.0,-34800000.0,-6.6944,-6.7583
ARCO,Consumer Cyclical,-43.0402886449419,0,3651065000.0,-0.0948,0.1201,70857000.0,-109333000.0,-0.0299,-0.2393,-0.1095,0.0,0.311,,1.7743,0.825,193091000.0,26515000.0,-3.0,-3.0302
JWN,Consumer Cyclical,-30.489435510186706,0,12540000000.0,0.0335,0.3829999999999999,1350000000.0,734000000.0,0.0585,0.3529,0.1302,14.7772,0.8590000000000001,1.012,1.4966,2.057,1320000000.0,517000000.0,0.0421,-0.0014
SBGI,Consumer Cyclical,24.10357505453701,1,1976558000.0,0.45,0.4644,494651000.0,212279000.0,0.1074,0.4961,0.2682,12.4932,1.3223,3.2798,9.084,1.08,432599000.0,351141000.0,1.7821,1.8894
